#{"t_start": 1754093458.0675297, "env_id": "None"}
r,l,t
-106.715055,365,3.320196
-147.740439,365,3.338191
-175.229506,365,3.4517
-144.320027,365,3.633607
-100.138093,365,3.816609
-101.204209,365,3.991612
-181.046822,365,4.151613
-142.337823,365,4.3269
-173.621625,365,4.506916
-120.018023,365,4.678928
-128.235609,365,4.848005
-132.106785,365,5.016902
-145.075138,365,5.207464
-98.701963,365,5.37139
-145.950812,365,5.535516
-127.522435,365,5.709387
-132.828644,365,5.906418
-120.667852,365,6.082011
-125.930282,365,6.262169
-107.929662,365,6.436321
-59.798402,365,6.624324
-148.39448,365,6.788067
-165.308127,365,6.960048
-28.827398,365,7.13397
-91.886217,365,7.320968
-144.952344,365,7.49397
-146.403498,365,7.66497
-123.658514,365,7.834967
-175.131399,365,8.017971
-78.212013,365,8.182635
-117.654056,365,8.348641
-165.353165,365,8.521641
-143.4551,365,8.705133
-160.460128,365,8.869133
-92.912616,365,9.043135
-124.78601,365,9.212133
-121.038032,365,9.39104
-78.844416,365,9.557604
-110.702034,365,9.743148
-130.8571,365,9.922243
-127.52925,365,10.108378
-99.270791,365,10.276397
-101.968864,365,10.44954
-166.765326,365,10.621272
-76.46306,365,10.804755
-87.57655,365,10.972844
-182.907168,365,11.144667
-149.752464,365,11.315666
-79.482949,365,11.498497
-150.226248,365,11.677697
-114.822425,365,11.854676
-88.813944,365,12.035674
-174.57268,365,12.234744
-84.908501,365,12.428994
-83.301985,365,12.616451
-139.419303,365,12.812717
-56.606484,365,13.025452
-77.351696,365,13.202698
-158.035463,365,13.380938
-146.177921,365,13.549029
-122.933711,365,13.730047
-90.258327,365,13.910146
-172.036873,365,14.082206
-127.319139,365,14.25438
-171.89939,365,14.439377
-154.537122,365,14.616854
-129.151687,365,14.79329
-119.534249,365,14.965187
-84.856673,365,15.152079
-65.165511,365,15.324264
-154.008726,365,15.516183
-138.616753,365,15.720185
-137.830752,365,15.940212
-118.988981,365,16.153183
-109.89989,365,16.360184
-75.623133,365,16.584183
-116.850696,365,16.81252
-130.902272,365,17.02597
-117.247807,365,17.250972
-70.488279,365,17.470973
-112.482982,365,17.700975
-147.399596,365,17.913975
-141.428684,365,18.131055
-82.606438,365,18.345924
-99.593867,365,18.581008
-136.396677,365,18.805811
-118.330858,365,19.017823
-120.586006,365,19.229838
-78.61983,365,19.456732
-127.873144,365,19.685691
-126.437668,365,19.91869
-105.339229,365,20.151437
-105.030466,365,20.392356
-68.040987,365,20.683774
-126.08402,365,20.940773
-173.017682,365,21.182434
-148.653367,365,21.42872
5.431734,365,21.665718
-115.809212,365,21.897722
-12.191802,365,22.128084
-104.473543,365,22.367084
-81.31947,365,22.603177
-110.47549,365,22.824277
-41.502416,365,23.060237
-116.058128,365,23.297312
-116.703745,365,23.522069
-59.212701,365,23.739634
-76.76219,365,23.974622
-56.992318,365,24.226908
-33.485592,365,24.455494
-74.696648,365,24.663494
-97.194789,365,24.878495
-122.375589,365,25.122023
-23.395951,365,25.334231
-134.227719,365,25.553233
-67.57805,365,25.773234
-84.921349,365,26.008248
30.46106,365,26.237236
-155.20758,365,26.452837
-67.782597,365,26.675839
-30.544873,365,26.919274
-49.942215,365,27.139791
-91.63828,365,27.365789
-48.084553,365,27.58068
-15.477352,365,27.81994
-67.164096,365,28.047942
-18.777609,365,28.264962
-118.196937,365,28.488689
-51.81789,365,28.725685
-113.303233,365,28.951873
-42.064458,365,29.176572
-83.375683,365,29.403571
-107.107496,365,29.641572
-106.88966,365,29.864571
-26.909608,365,30.082568
-63.094478,365,30.309741
-154.841823,365,30.546453
-27.444199,365,30.773452
12.684157,365,31.002453
-139.2504,365,31.233977
-66.524608,365,31.505065
-23.959099,365,31.734977
-103.074503,365,31.953977
-23.005812,365,32.182979
-57.461672,365,32.427976
-73.501615,365,32.640202
-71.801487,365,32.868315
-124.218039,365,33.08773
-67.240473,365,33.322505
-68.000621,365,33.561507
-158.64492,365,33.772501
7.000549,365,33.998505
-89.946554,365,34.227521
-70.26693,365,34.449183
-124.428953,365,34.679003
-15.950916,365,34.919008
-59.427033,365,35.190001
-53.156934,365,35.420088
-55.352339,365,35.655463
-65.33906,365,35.884585
-70.918757,365,36.134586
-66.432607,365,36.357518
-16.733038,365,36.573529
-62.208967,365,36.807214
1.015529,365,37.05621
-42.161759,365,37.283814
-105.676811,365,37.59271
20.096182,365,37.846802
-104.667432,365,38.103708
45.161929,365,38.338797
-95.16086,365,38.563341
33.660168,365,38.794291
-69.828983,365,39.042195
-119.191333,365,39.262014
-62.809418,365,39.484904
-11.60275,365,39.713904
-34.653661,365,39.963009
16.135049,365,40.187495
-86.770951,365,40.420605
19.141199,365,40.649503
-106.91284,365,40.893083
-9.497846,365,41.143085
-57.967513,365,41.385177
-125.722875,365,41.620002
-40.219747,365,41.862716
-3.438908,365,42.095943
-128.257219,365,42.322952
-83.429884,365,42.573942
-53.907925,365,42.835815
23.121954,365,43.075934
-29.176751,365,43.302938
-9.306621,365,43.535934
-25.428411,365,43.772951
-6.069219,365,43.995233
-85.417957,365,44.232211
-1.04573,365,44.465337
34.353053,365,44.7137
-55.418741,365,44.9397
34.781623,365,45.182777
-17.872872,365,45.412774
-65.111235,365,45.652698
-17.335013,365,45.883701
2.424696,365,46.122805
-155.587874,365,46.343697
-9.453643,365,46.5877
-67.442338,365,46.820293
-14.257763,365,47.067444
4.490771,365,47.3011
-77.006031,365,47.574105
-22.160302,365,47.807103
0.696464,365,48.042173
-27.110389,365,48.287119
-28.334225,365,48.54111
-21.770692,365,48.787105
-58.164427,365,49.024102
3.066957,365,49.254146
-67.693197,365,49.499656
-9.003688,365,49.724656
-54.913769,365,49.965869
-75.844657,365,50.203873
43.424471,365,50.465512
-68.917229,365,50.709555
-52.274563,365,50.955498
-18.660574,365,51.193473
-21.515007,365,51.427581
-44.176399,365,51.658473
-61.359329,365,51.896472
55.170273,365,52.132478
-16.194369,365,52.378974
-33.948941,365,52.609972
-5.376831,365,52.844973
-67.714641,365,53.080066
5.183083,365,53.33301
-26.140365,365,53.567306
-14.630039,365,53.80229
54.212041,365,54.033291
