#{"t_start": 1754094254.136626, "env_id": "None"}
r,l,t
-149.646915,365,0.319774
-71.866405,365,0.508066
-189.500294,365,0.688275
-89.441771,365,0.882163
-77.896793,365,1.062259
-127.906096,365,5.277468
-100.804692,365,5.456456
-98.367359,365,5.613028
-90.917802,365,5.766035
-118.203424,365,5.920036
-3.348875,365,6.074051
-14.555647,365,7.182364
-86.821179,365,7.341367
-3.987883,365,7.499687
-87.261856,365,7.664779
-109.405313,365,7.825312
-11.024808,365,8.893589
-34.165323,365,9.074592
9.393205,365,9.229286
-58.226438,365,9.430307
32.30302,365,9.608293
-2.114651,365,9.771295
0.793278,365,11.171587
-24.148667,365,11.403505
-31.621327,365,11.616504
-2.70788,365,11.7925
-93.108411,365,11.962345
58.777736,365,12.127408
-0.908805,365,13.42914
-10.483813,365,13.610744
-6.193203,365,13.777752
24.137334,365,13.940754
-29.03601,365,14.096756
-60.622165,365,15.405985
9.749772,365,15.702816
7.653435,365,15.947171
-12.748119,365,16.126133
21.495569,365,16.297448
-11.487975,365,16.46245
-55.017176,365,17.725818
-19.993013,365,17.929903
-57.101111,365,18.097918
37.913923,365,18.258914
-8.244117,365,18.417057
-77.182605,365,19.638404
-0.410514,365,19.853046
-29.185857,365,20.031443
-50.006887,365,20.190472
-25.720293,365,20.342626
-47.180672,365,20.496626
-14.322975,365,21.788792
-9.358952,365,21.986903
-15.887438,365,22.161045
66.408923,365,22.326915
-23.478761,365,22.487
41.864438,365,22.638949
32.695762,365,24.075298
47.556726,365,24.268381
3.994247,365,24.444687
-29.257095,365,24.608686
-0.368937,365,24.768773
32.324565,365,25.976839
-43.648512,365,26.182872
-23.144727,365,26.356364
-41.186125,365,26.522006
-77.846523,365,26.685021
50.768503,365,26.854425
18.434168,365,28.159558
-29.788335,365,28.372171
34.660466,365,28.593618
20.619886,365,28.76649
-0.389368,365,28.931486
59.552094,365,30.139978
51.825119,365,30.350981
-22.111133,365,30.527065
20.333579,365,30.69098
7.154156,365,30.846981
-49.135168,365,31.002071
-2.580848,365,32.206055
40.969123,365,32.403151
-5.798678,365,32.572955
58.233168,365,32.73597
26.324032,365,32.899967
-65.771297,365,33.054965
-2.396929,365,34.353903
44.831424,365,34.538897
46.366328,365,34.697897
-12.622202,365,34.852897
11.173569,365,35.009897
10.650493,365,36.207404
64.000104,365,36.41041
20.654518,365,36.587405
80.575942,365,36.752757
13.465906,365,36.916755
-13.803307,365,37.070758
43.06178,365,38.320747
16.092634,365,38.512775
-24.400559,365,38.679855
23.59246,365,38.841686
31.360349,365,38.998769
-14.089225,365,40.159679
12.512372,365,40.362692
-18.357005,365,40.545131
50.458811,365,40.71126
-90.333606,365,40.874612
47.110715,365,41.029719
-121.066327,365,42.237264
62.772588,365,42.436363
3.421063,365,42.608358
-57.057239,365,42.770352
10.977194,365,42.932605
-11.94512,365,43.08769
-27.104038,365,44.341271
-0.134855,365,44.533266
14.499102,365,44.693263
-24.220125,365,44.845745
40.458149,365,45.00174
30.520506,365,46.203074
51.161403,365,46.414081
43.162064,365,46.593939
3.25484,365,46.759922
70.152993,365,46.921941
-4.780852,365,47.077852
8.483069,365,48.31447
6.225378,365,48.510556
93.090998,365,48.673568
-25.227447,365,48.833887
-17.907334,365,48.987888
31.498189,365,49.140881
-15.064778,365,50.37778
108.448281,365,50.55678
28.256799,365,50.71579
-31.320619,365,50.873842
-14.12279,365,51.030847
11.753011,365,52.243084
-16.255645,365,52.450171
10.979093,365,52.620708
66.424162,365,52.780795
8.102024,365,52.94171
10.489386,365,53.097028
-33.884018,365,54.377447
97.931128,365,54.568447
-29.641313,365,54.739391
12.139355,365,54.90339
59.492489,365,55.05939
59.738788,365,56.253739
11.259169,365,56.473743
66.630712,365,56.647747
37.817189,365,56.810834
7.609171,365,56.968829
38.340026,365,57.120836
10.955914,365,58.363855
-7.241933,365,58.561034
24.850286,365,58.729704
52.837275,365,58.892709
-32.900569,365,59.047707
-6.863389,365,59.199705
-20.14987,365,60.424428
120.868525,365,60.603958
13.036002,365,60.762969
87.285377,365,60.916873
3.354339,365,61.071943
-50.472396,365,62.251944
47.06701,365,62.455946
9.869584,365,62.627918
19.112558,365,62.792007
26.815615,365,62.95392
-92.653906,365,63.108016
126.139132,365,64.349721
-48.236827,365,64.566741
0.246917,365,64.738812
68.351452,365,64.901819
-5.767939,365,65.059761
41.776315,365,66.246895
28.519394,365,66.463178
50.095631,365,66.63835
29.926588,365,66.805351
-35.314405,365,66.966441
-40.666239,365,67.118456
42.489956,365,68.337461
30.650707,365,68.534462
85.619599,365,68.698555
33.80204,365,68.850546
-36.057657,365,69.006459
-11.850509,365,69.15946
-43.3399,365,70.407746
38.904884,365,70.591704
37.091439,365,70.756874
10.333117,365,70.915869
18.654594,365,71.073379
41.51382,365,72.736604
75.486591,365,72.992631
3.587429,365,73.192669
84.766873,365,73.38267
23.319,365,73.589642
85.137985,365,73.783705
-25.813785,365,75.508038
40.434048,365,75.71414
45.341534,365,75.895143
17.058117,365,76.067138
94.580307,365,76.23354
14.991589,365,77.470237
59.926468,365,77.711629
-21.820129,365,77.901631
49.642148,365,78.07563
63.319022,365,78.237721
-87.662053,365,78.399797
2.44116,365,79.628619
38.158329,365,79.830706
14.239481,365,80.003718
53.15529,365,80.167771
66.826656,365,80.328769
37.679672,365,80.486784
73.951433,365,81.720774
88.647137,365,81.905266
39.029969,365,82.072371
39.526299,365,82.231474
26.203299,365,82.387368
51.475207,365,83.587464
27.390428,365,83.80766
53.60255,365,84.011639
25.1686,365,84.176728
4.103146,365,84.335736
-6.083189,365,84.490735
39.20023,365,85.726565
11.465453,365,85.922658
33.789557,365,86.092647
21.670738,365,86.250561
59.908795,365,86.405561
0.582232,365,86.557656
55.288643,365,87.775506
13.329517,365,87.959527
23.24659,365,88.130589
26.409651,365,88.287509
69.644521,365,88.443687
28.330249,365,89.629687
48.349335,365,89.837345
29.53953,365,90.019425
7.76201,365,90.196861
-1.475042,365,90.355944
25.654099,365,90.508937
-51.707335,365,91.785872
-22.887739,365,91.985231
-28.202049,365,92.173225
37.024967,365,92.391231
50.437574,365,92.577833
11.373186,365,93.84133
9.557169,365,94.052133
15.570453,365,94.23013
28.853319,365,94.39413
5.742334,365,94.550134
15.221078,365,94.703133
41.057814,365,95.914121
27.26111,365,96.112125
-3.453905,365,96.278209
45.367132,365,96.435207
97.132161,365,96.590589
-10.068763,365,96.744508
1.557793,365,97.957865
15.295254,365,98.14481
22.656914,365,98.314387
17.664474,365,98.471388
29.212778,365,98.627388
24.25529,365,99.814762
83.717975,365,100.016757
2.602257,365,100.18776
-2.791258,365,100.348757
25.913496,365,100.501757
29.280153,365,100.65669
58.013894,365,101.869268
11.931987,365,102.060104
4.864521,365,102.226211
64.274327,365,102.381196
89.965244,365,102.533187
52.28846,365,103.724217
28.502026,365,103.934963
37.97322,365,104.113052
22.603471,365,104.27629
27.547738,365,104.4332
21.132598,365,104.586297
40.919404,365,105.809447
45.473268,365,106.019786
41.591558,365,106.197801
7.883943,365,106.360789
24.905731,365,106.519881
50.622833,365,106.676887
48.590751,365,107.909847
127.441242,365,108.095849
13.90359,365,108.264409
8.463969,365,108.430309
49.242242,365,108.58992
37.239137,365,109.807153
9.525802,365,110.014245
100.782394,365,110.189233
0.881432,365,110.353019
7.796421,365,110.512011
45.452132,365,110.66722
22.090413,365,112.140076
97.054934,365,112.340984
31.729385,365,112.550255
7.243222,365,112.772656
47.629731,365,112.982049
-7.014948,365,114.261024
65.143319,365,114.476266
-12.02337,365,114.654247
-16.043511,365,114.816234
-9.351551,365,114.977098
34.098837,365,115.137091
46.586355,365,116.341925
21.620895,365,116.548016
30.82341,365,116.718027
92.15983,365,116.879016
10.957365,365,117.039842
17.448615,365,117.195831
11.509697,365,118.425777
15.217478,365,118.611819
-10.766882,365,118.780875
33.940456,365,118.948123
20.968074,365,119.107148
55.692364,365,120.375691
-28.820025,365,120.601138
92.074632,365,120.777979
18.154113,365,120.945883
37.339109,365,121.101961
59.288903,365,121.254534
84.015582,365,122.478326
25.937837,365,122.674491
1.534251,365,122.848541
64.121275,365,123.013541
78.038026,365,123.175541
69.323471,365,123.329556
6.533034,365,124.557623
15.594362,365,124.736624
19.803042,365,124.903622
21.602234,365,125.068751
30.572908,365,125.227746
78.498752,365,126.427186
13.406854,365,126.630304
32.69825,365,126.804223
59.966047,365,126.968319
34.796364,365,127.124222
-7.874493,365,127.278223
22.179483,365,128.503333
36.041816,365,128.691415
79.646214,365,128.857522
44.288176,365,129.018656
46.401185,365,129.178059
28.752028,365,130.381965
25.785676,365,130.587984
17.451726,365,130.762259
38.179143,365,130.932251
4.855305,365,131.09317
45.615803,365,131.248257
63.321029,365,132.459516
-10.557898,365,132.651609
44.805335,365,132.819609
70.199604,365,132.983914
-40.498619,365,133.146914
126.784004,365,133.298917
111.390225,365,134.502078
42.443792,365,134.68217
25.6165,365,134.844777
57.913693,365,135.015799
24.199156,365,135.174778
30.402877,365,136.450432
57.281192,365,136.665437
30.937431,365,136.883492
40.582432,365,137.049486
39.482941,365,137.20949
58.061077,365,137.362639
25.785608,365,138.615491
32.579382,365,138.802584
48.596819,365,138.974892
123.762116,365,139.136892
82.411001,365,139.295891
26.729602,365,140.471351
54.856176,365,140.684356
27.412316,365,140.857665
90.378421,365,141.024665
76.141458,365,141.180667
15.784332,365,141.334667
8.554367,365,142.538444
55.963978,365,142.744665
-11.045036,365,142.917761
42.954744,365,143.086761
50.732391,365,143.24767
26.607511,365,143.419034
22.59937,365,144.648611
28.541893,365,144.831606
6.418872,365,144.998609
133.471372,365,145.156608
59.647256,365,145.312697
35.437468,365,146.505836
-13.848505,365,146.721841
87.528984,365,146.897836
